RTs,start,end
0.7993999999999999,2.0128,2.8122
0.5537999999999998,4.0084,4.5622
0.40270000000000117,8.0095,8.4122
0.49959999999999916,10.0126,10.5122
0.6043000000000003,12.0079,12.6122
0.7040999999999986,14.0081,14.7122
0.4491999999999976,16.013,16.4622
0.5442999999999998,18.0179,18.5622
0.5027000000000008,24.0095,24.5122
0.596700000000002,26.0155,26.6122
0.6966000000000001,28.0156,28.7122
0.444700000000001,30.0175,30.4622
0.6561999999999983,34.006,34.6622
0.4042999999999992,36.0079,36.4122
0.5046999999999997,38.0075,38.5122
0.6020000000000039,40.0102,40.6122
0.7028000000000034,42.0094,42.7122
0.4516000000000062,44.0106,44.4622
0.5561999999999969,46.006,46.5622
0.6511999999999958,48.011,48.6622
0.503700000000002,52.0085,52.5122
0.5930999999999997,54.0191,54.6122
0.7062000000000026,56.006,56.7122
0.45120000000000005,58.011,58.4622
0.5497999999999976,60.0124,60.5622
0.6524999999999963,62.0097,62.6622
0.4544999999999959,72.0077,72.4622
0.5456000000000074,74.0166,74.5622
0.6557999999999993,76.0064,76.6622
0.40330000000000155,78.0089,78.4122
0.502200000000002,80.01,80.5122
0.7059999999999889,84.0062,84.7122
0.5559000000000083,88.0063,88.5622
0.6496999999999957,90.0125,90.6622
0.7458000000000027,92.0164,92.7622
0.5067000000000093,94.0055,94.5122
0.5991000000000071,96.0131,96.6122
0.7009999999999934,98.0112,98.7122
0.45059999999999434,100.0116,100.4622
0.4941000000000031,108.0181,108.5122
0.6991999999999905,112.013,112.7122
0.44669999999999277,114.0155,114.4622
0.5518000000000001,116.0104,116.5622
0.651600000000002,118.0106,118.6622
0.49560000000001025,122.0166,122.5122
0.6045000000000016,124.0077,124.6122
0.4560999999999922,128.0061,128.4622
0.54849999999999,130.0137,130.5622
0.6465000000000032,132.0157,132.6622
0.5024999999999977,136.0097,136.5122
0.7040999999999826,140.0081,140.7122
0.45709999999999695,142.0051,142.4622
0.554000000000002,144.0082,144.5622
0.6559000000000026,146.0063,146.6622
0.404200000000003,148.008,148.4122
0.5072000000000116,150.005,150.5122
0.6038000000000068,152.0084,152.6122
0.4527999999999963,156.0094,156.4622
0.5574999999999761,158.0047,158.5622
0.6562000000000126,160.006,160.6622
0.40390000000002146,162.0083,162.4122
0.49800000000001887,164.0142,164.5122
0.6008999999999958,166.0113,166.6122
0.7006999999999834,168.0115,168.7122
0.4557000000000073,170.0065,170.4622
0.654500000000013,174.0077,174.6622
0.40270000000001005,176.0095,176.4122
0.6058999999999912,180.0063,180.6122
0.7006999999999834,182.0115,182.7122
0.4515999999999849,184.0106,184.4622
0.5568999999999846,186.0053,186.5622
0.6485000000000127,188.0137,188.6622
0.40210000000001855,190.0101,190.4122
0.4975000000000023,192.0147,192.5122
0.6014000000000124,194.0108,194.6122
0.45230000000000814,198.0099,198.4622
0.6420999999999992,202.0201,202.6622
0.7481999999999971,204.014,204.7622
0.6032999999999902,208.0089,208.6122
0.7057999999999822,210.0064,210.7122
0.4532999999999845,212.0089,212.4622
0.5492999999999881,214.0129,214.5622
0.6524000000000001,216.0098,216.6622
0.49979999999999336,220.0124,220.5122
0.6050999999999931,222.0071,222.6122
0.6976999999999975,224.0145,224.7122
0.5497000000000014,228.0125,228.5622
0.4007000000000005,232.0115,232.4122
0.5021000000000129,234.0101,234.5122
0.7057999999999822,238.0064,238.7122
0.4555000000000007,240.0067,240.4622
0.6529000000000167,244.0093,244.6622
0.7478000000000122,246.0144,246.7622
0.501499999999993,248.0107,248.5122
